"","PlacetteID","rcp","Annee","Mois","Tmin","Tmax","PTot"
"191",400202303,"RCP45",2006,11,-3.26,3.39333,71.3
"192",400202303,"RCP45",2006,12,-11.471,-3.17419,69.2
"193",400202303,"RCP45",2007,1,-18.4871,-8.9871,69.1
"194",400202303,"RCP45",2007,2,-23.0214,-11.7607,59.6
"195",400202303,"RCP45",2007,3,-15.2677,-3.29355,59.6
"196",400202303,"RCP45",2007,4,-4.17,5.66667,64.3
"197",400202303,"RCP45",2007,5,1.46452,15.0871,35
"198",400202303,"RCP45",2007,6,7.77,20.31,84.6
"199",400202303,"RCP45",2007,7,10.3419,21.7226,81.6
"200",400202303,"RCP45",2007,8,8.52258,19.7839,141
"201",400202303,"RCP45",2007,9,5.21,16.6367,100.5
"202",400202303,"RCP45",2007,10,1.90323,10.9806,119.2
"203",400202303,"RCP45",2007,11,-6.58667,0.03,126.5
"204",400202303,"RCP45",2007,12,-16.0968,-8.13548,79.4
"205",400202303,"RCP45",2008,1,-17.5484,-8.08387,50.3
"206",400202303,"RCP45",2008,2,-20.0103,-8.04138,43.9
"207",400202303,"RCP45",2008,3,-17.2194,-5.0871,98
"208",400202303,"RCP45",2008,4,-2.85667,7.01667,81.3
"209",400202303,"RCP45",2008,5,1.91935,14.0194,48.2
"210",400202303,"RCP45",2008,6,8.32333,17.7767,188.3
"211",400202303,"RCP45",2008,7,11.9032,22.4,144.3
"212",400202303,"RCP45",2008,8,10.371,20.5806,73.9
"213",400202303,"RCP45",2008,9,5.52667,16.5067,96.9
"214",400202303,"RCP45",2008,10,1.03871,8.52903,68.6
"215",400202303,"RCP45",2008,11,-4.74333,1.79,90.5
"216",400202303,"RCP45",2008,12,-17.7548,-7.64839,174.7
"217",400202303,"RCP45",2009,1,-25.171,-14.4065,67.5
"218",400202303,"RCP45",2009,2,-17.2143,-6.69643,44
"219",400202303,"RCP45",2009,3,-15.6194,-2.34516,26.9
"220",400202303,"RCP45",2009,4,-2.68333,6.40333,52.5
"221",400202303,"RCP45",2009,5,0.919355,12.6194,92
"222",400202303,"RCP45",2009,6,7.97667,20.3867,68.5
"223",400202303,"RCP45",2009,7,11.9161,20.4387,123.1
"224",400202303,"RCP45",2009,8,11.4161,21.3516,76.7
"225",400202303,"RCP45",2009,9,6.40667,16.5467,74.1
"226",400202303,"RCP45",2009,10,-0.280645,5.57419,78.3
"227",400202303,"RCP45",2009,11,-3.21,3.71667,62.2
"228",400202303,"RCP45",2009,12,-12.5484,-6.11613,100.6
"229",400202303,"RCP45",2010,1,-14.7323,-6.15484,37.7
"230",400202303,"RCP45",2010,2,-9.95,-3.93214,33.5
"231",400202303,"RCP45",2010,3,-9.72581,2.01935,40
"232",400202303,"RCP45",2010,4,-1.57667,8.53667,33
"233",400202303,"RCP45",2010,5,3.89677,16.6871,55
