Essence;Variable;Model;Moyenne;EcartType;Minimum;Maximum;MinimumSTD;MaximumSTD;Quant025;Quant975;Quant025STD;Quant975STD;Quant05;Quant95
PET;PUtile;Mort_CANEU;281.1604;45.20707;147.58;521.3286;-2.954856397;5.312624773;201.5143;375.5429;-1.761806284;2.087781845;;
EPN;TMoy;Mort_CANEU;1.251442;2.479258;-4.311111;9.26;-2.243636201;3.23022372;-2.878571;7.315238;-1.665826227;2.445810803;;
EPN;PUtile;Mort_CANEU;294.5852;34.15595;148.26;513.7571;-4.284032504;6.416800001;225.9;365.6667;-2.010929282;2.081086897;;
SAB;DD;Mort_CANEU;1490.195;337.0744;617.6643;2601.186;-2.588540393;3.29598154;813.9643;2047.2333;-2.006176381;1.652567801;;
SAB;PTot;Mort_CANEU;1095.993;212.2836;502.05;1902.317;-2.797875107;3.798333927;739.1167;1549.233;-1.681129866;2.135068371;;
EPR;TMoy;Mort_CANEU;5.720482;1.575432;-1.35;11.42222;-4.487963936;3.619158428;2.428571;8.157143;-2.089529094;1.546662122;;
EPR;TotalVPD;Mort_CANEU;12.11778;1.90468;4.990833;17.23094;-3.741808073;2.684524435;7.802471;15.204557;-2.265634647;1.620627612;;
SAB;DD;Acc_QUE;1274;291.7674071;607;2318;-2.286067545;3.578192679;782.0542;1834.737;-1.686088946;1.921863054;;
SAB;CMIcm;Acc_QUE;2.19;1.776;-2.7;51.72;-2.753378378;27.88851351;-0.91029988;5.7598674;-1.745664347;2.010060473;;
ERR;DD;Acc_QUE;1639;246.861454;1048;2319;-2.394055412;2.754581523;1238.8812;2171.25;-1.620823314;2.15606767;;
ERR;CMIcm;Acc_QUE;1.22;1.6413946;-2.71;51.72;-2.394305428;30.76652013;-1.6170244;4.4487933;-1.728423135;1.967103645;;
ERA;UtilVPD;Acc_QUE;8.4;0.439030429;4.9;9.4;-7.972112566;2.277746448;7.979125;9.371656;-0.958646536;2.213186002;;
ERS;DD;Acc_QUE;1601;182.9941228;1068;2356;-2.912661849;4.125815564;1274.8731;1985.537;-1.782171444;2.101362569;;
ERS;CMIcm;Acc_QUE;1.2;1.6424312;-2.66;6.9;-2.350174546;3.470465003;-1.51529501;4.9261732;-1.653216896;2.268693629;;
BOJ;CMIcm;Acc_QUE;1.4;1.6637161;-2.66;10.36;-2.440320196;5.385534227;-1.37099351;5.1820324;-1.665544686;2.273243855;;
BOP;DD;Acc_QUE;1352;212.3460209;692;2356;-3.108134531;4.728131922;893.7;1756.976;-2.158269781;1.907151348;;
BOP;UtilVPD;Acc_QUE;5.5;1.048548993;1.6;9.1;-3.719425631;3.433315967;3.4799;7.344928;-1.926567107;1.759505767;;
BOG;CMIcm;Acc_QUE;1.89;1.2665622;-1.31;6.07;-2.526524161;3.300272186;-0.35165546;4.232875;-1.769873963;1.849790717;;
HEG;UtilVPD;Acc_QUE;6.1;0.843072111;3.4;9;-3.202573024;3.439800655;4.744234;7.89221;-1.608125785;2.125808666;;
HEG;CMIcm;Acc_QUE;0.91;1.5373493;-2.59;7.12;-2.276645913;4.039420319;-1.47771925;4.5755411;-1.553140363;2.384325475;;
FRA;CMIcm;Acc_QUE;1.18;1.8912906;-2.71;6.44;-2.05679656;2.781169642;-2.50130408;4.8848695;-1.946450789;1.958910756;;
FRN;DD;Acc_QUE;1702;193.7441334;1212;2286;-2.529108838;3.014284819;1385.3194;2128.036;-1.634530008;2.198962067;;
MEL;DD;Acc_QUE;1439;320.5302308;646;2264;-2.474025611;2.573860188;770.8707;2085.167;-2.084450188;2.015931534;;
OSV;CMIcm;Acc_QUE;0.13;1.3636343;-2.7;5.12;-2.075336474;3.659338871;-1.78359821;3.712349;-1.403307478;2.627059909;;
EPB;DD;Acc_QUE;1371;253.624729;680;2149;-2.649583906;3.142438055;868.1333;1842.828;-1.907805686;1.93525293;;
EPB;CMIcm;Acc_QUE;1.54;1.6918406;-2.67;7.53;-2.488414098;3.540522671;-1.45350552;5.17917;-1.76937799;2.151012335;;
EPN;DD;Acc_QUE;1146;249.8652604;607;2160;-2.157162621;4.058187194;746.91;1607.336;-1.597220836;1.8463391;;
EPN;CMIcm;Acc_QUE;1.89;1.2989247;-2.43;7.53;-3.325827894;4.342053084;-0.36051356;4.5893782;-1.732597402;2.07816373;;
EPR;DD;Acc_QUE;1548;196.3702737;884;2264;-3.381367187;3.646173051;1243.17;2036.78;-1.55232253;2.489073274;;
PIG;DD;Acc_QUE;1286;170.6259963;765;2039;-3.053462024;4.413161044;919.3618;1608.436;-2.148782764;1.889723764;;
PIG;UtilVPD;Acc_QUE;5.9;0.652827948;3.5;8.5;-3.676313196;3.982672629;4.541166;7.131319;-2.081458069;1.886130953;;
PIR;DD;Acc_QUE;1720;233.5969346;1225;2316;-2.119034656;2.551403344;1413.8024;2316.117;-1.310794598;2.551904206;;
PIB;DD;Acc_QUE;1711;195.4288516;1029;2286;-3.489761079;2.942247244;1346.75;2127.638;-1.863849667;2.131916534;;
PEG;DD;Acc_QUE;1710;172.6619868;1216;2264;-2.861081406;3.208581172;1416.7368;2122.803;-1.698481556;2.390815765;;
PEG;CMIcm;Acc_QUE;0.33;1.6326215;-2.67;51.72;-1.837535522;31.47698349;-1.76827454;2.9018647;-1.285218001;1.575297581;;
PET;DD;Acc_QUE;1448;192.6190477;724;2307;-3.758714461;4.459579726;1125.5214;1887.269;-1.674178145;2.28050655;;
PET;CMIcm;Acc_QUE;1.12;1.223669;-2.67;6.43;-3.0972428;4.339408778;-1.3059906;3.8520065;-1.982554596;2.232635214;;
CET;DD;Acc_QUE;1821;139.9500146;1408;2306;-2.95105364;3.46552304;1539.8466;2091.208;-2.008955846;1.930746494;;
CHR;DD;Acc_QUE;1743;147.4421847;1222;2356;-3.533588444;4.157561835;1477;2050.362;-1.804096979;2.084627277;;
CHR;CMIcm;Acc_QUE;-0.24;1.1260553;-2.52;5.07;-2.024767345;4.71557658;-1.75181737;2.4749465;-1.342578264;2.41102413;;
THO;DD;Acc_QUE;1601;199.1202297;1069;2319;-2.671752643;3.60586165;1274.6688;2084.826;-1.638865124;2.42981841;;
THO;UtilVPD;Acc_QUE;6.3;0.929870473;2.6;9.1;-3.979048811;3.011172073;4.356155;8.242878;-2.090447064;2.089407134;;
PRU;DD;Acc_QUE;1835;187.6329147;1288;2356;-2.915266764;2.776698325;1516.5565;2194.878;-1.697162252;1.917989712;;
PRU;UtilVPD;Acc_QUE;6.9;0.781671482;4.9;9;-2.558619632;2.686550614;5.370696;8.396898;-1.956453619;1.914996305;;
BOP;CMI;Acc_GAM;-6;;-125;161;;;;;;;-79;116
EPB;CMI;Acc_GAM;-20;;-125;161;;;;;;;-92;95
EPN;CMI;Acc_GAM;7;;-125;161;;;;;;;-81;83
PET;CMI;Acc_GAM;-17;;-125;161;;;;;;;-94;60
PIG;CMI;Acc_GAM;6;;-125;161;;;;;;;-72;66
SAB;CMI;Acc_GAM;1;;-125;161;;;;;;;-86;145
BOP;Tmax_yr;Acc_GAM;7.6;;3.6;11;;;;;;;6.1;9.5
EPB;Tmax_yr;Acc_GAM;7.7;;3.6;11;;;;;;;5.9;10
EPN;Tmax_yr;Acc_GAM;6.6;;3.5;11;;;;;;;3.5;8.7
PET;Tmax_yr;Acc_GAM;7.8;;3.6;11;;;;;;;6.3;10.1
