VegPotID;Nothing;ParameterEstimates;SpeciesGroupID
4;1;0.004888866;4
4;1;0.418250979;4
4;1;-3.20E-05;5
4;1;0.001822889;5
4;1;0.032456228;5
4;1;-0.009762816;6
4;1;0.012650081;6
4;1;0.00048477;6
4;1;0.055092774;6
4;1;0.054487154;7
4;1;0.038003368;7
4;1;-0.004590826;7
4;1;0.005538547;7
4;1;0.226497695;7
4;1;0.028991142;8
4;1;0.018193248;8
4;1;-0.001042174;8
4;1;-0.000222301;8
4;1;0.01100504;8
4;1;0.111286358;8
4;1;0.0471383;9
4;1;0.176751656;9
4;1;0.017102883;9
4;1;0.023152896;9
4;1;0.071673327;9
4;1;0.023160087;9
4;1;0.814671289;9
4;1;-0.069504192;10
4;1;-0.081325526;10
4;1;-0.004674607;10
4;1;-0.006963833;10
4;1;-0.076976498;10
4;1;-0.024426351;10
4;1;-0.200472094;10
4;1;0.634175013;10
4;1;-0.001382252;11
4;1;0.006553229;11
4;1;0.001555196;11
4;1;0.003818548;11
4;1;0.006088598;11
4;1;0.000796403;11
4;1;0.012739212;11
4;1;-0.005870239;11
4;1;0.038308701;11
4;1;-0.004225938;13
4;1;-0.00072205;13
4;1;0.009547818;13
4;1;0.000741594;13
4;1;-0.005609639;13
4;1;-0.000583279;13
4;1;0.018555094;13
4;1;-0.003044157;13
4;1;0.00331305;13
4;1;0.037638113;13
4;1;0.015244123;14
4;1;-0.001860817;14
4;1;-0.000476752;14
4;1;-0.00172518;14
4;1;0.000180968;14
4;1;-0.00252269;14
4;1;0.009089132;14
4;1;-0.005646072;14
4;1;0.002497199;14
4;1;0.001248998;14
4;1;0.057853355;14
4;1;-0.001861649;16
4;1;0.008576127;16
4;1;0.005087816;16
4;1;-0.000116316;16
4;1;-0.001490219;16
4;1;0.000309584;16
4;1;0.0127692;16
4;1;-0.012433066;16
4;1;0.003591768;16
4;1;0.002850337;16
4;1;0.000286798;16
4;1;0.02399746;16
4;1;-0.102822082;17
4;1;-0.073415994;17
4;1;-0.002742142;17
4;1;0.024386232;17
4;1;-0.036296959;17
4;1;0.003370146;17
4;1;-0.050618995;17
4;1;-0.092760831;17
4;1;-0.005179838;17
4;1;-0.008051012;17
4;1;-0.016118358;17
4;1;-0.002053976;17
4;1;0.755044531;17
4;1;-0.01757132;20
4;1;-0.001849207;20
4;1;0.00368891;20
4;1;0.010412444;20
4;1;-0.003600213;20
4;1;4.24E-05;20
4;1;-0.005503785;20
4;1;0.007419092;20
4;1;0.005673543;20
4;1;0.004270744;20
4;1;-0.002353897;20
4;1;0.000357211;20
4;1;0.009834965;20
4;1;0.088996098;20
4;1;-0.047486588;21
4;1;0.136514128;21
4;1;0.006435587;21
4;1;0.019936287;21
4;1;0.00949983;21
4;1;0.00452033;21
4;1;0.135914868;21
4;1;-0.105434751;21
4;1;0.022260754;21
4;1;0.006160453;21
4;1;0.000779164;21
4;1;0.01501766;21
4;1;-0.053462721;21
4;1;0.010938982;21
4;1;0.41996982;21
4;1;0.020812733;24
4;1;0.035746286;24
4;1;0.007941865;24
4;1;-0.001999763;24
4;1;-0.00473357;24
4;1;0.008149055;24
4;1;0.0238754;24
4;1;-0.011580204;24
4;1;0.002316044;24
4;1;0.001320288;24
4;1;-8.48E-06;24
4;1;0.005652328;24
4;1;-0.021645706;24
4;1;-0.002123623;24
4;1;0.018310418;24
4;1;0.107622599;24
4;1;0.008666761;25
4;1;-0.005163294;25
4;1;-0.000113795;25
4;1;0.002837306;25
4;1;-0.001262022;25
4;1;0.004577802;25
4;1;0.02308715;25
4;1;-0.039946701;25
4;1;-0.000628673;25
4;1;0.004486357;25
4;1;-0.000176174;25
4;1;0.002101316;25
4;1;0.023219756;25
4;1;-0.001359142;25
4;1;-0.010560142;25
4;1;-0.002572309;25
4;1;0.119473933;25
4;1;0.12646376;27
4;1;0.094772696;27
4;1;-0.001791672;27
4;1;0.006530949;27
4;1;0.155899637;27
4;1;0.02689552;27
4;1;0.18713106;27
4;1;-0.167419408;27
4;1;0.003269255;27
4;1;-0.007311062;27
4;1;0.01511816;27
4;1;0.000600272;27
4;1;-0.124355729;27
4;1;-0.006759039;27
4;1;0.05029892;27
4;1;0.001023342;27
4;1;0.004809179;27
4;1;0.730751183;27
4;1;0.019608593;30
4;1;0.009759668;30
4;1;0.000508705;30
4;1;0.001000997;30
4;1;0.020013379;30
4;1;-0.000172027;30
4;1;0.021682089;30
4;1;-0.034066237;30
4;1;0.002818006;30
4;1;-0.000938304;30
4;1;0.005191959;30
4;1;-0.000509669;30
4;1;-0.029376315;30
4;1;-0.001326808;30
4;1;0.009285956;30
4;1;-0.003493745;30
4;1;0.009309708;30
4;1;0.067219519;30
4;1;0.090987887;30
4;1;-0.006533569;31
4;1;0.006203316;31
4;1;0.003431565;31
4;1;0.002658545;31
4;1;-0.005038518;31
4;1;-0.003899292;31
4;1;-0.003346236;31
4;1;0.01087458;31
4;1;0.003144785;31
4;1;0.007327944;31
4;1;-0.000856715;31
4;1;0.000305513;31
4;1;-0.007512453;31
4;1;0.005477678;31
4;1;0.00386721;31
4;1;-0.001853694;31
4;1;0.005984028;31
4;1;-0.005346991;31
4;1;0.002451298;31
4;1;0.054368497;31
5;1;1.027830859;1
5;1;0.084593883;10
5;1;0.606447206;10
5;1;-0.085516932;17
5;1;-0.019999132;17
5;1;0.683432226;17
6;1;0.746098703;9
6;1;-0.257059689;10
6;1;0.45204982;10
6;1;-0.186377213;15
6;1;0.098217244;15
6;1;0.674203224;15
6;1;0.243401946;16
6;1;-0.029679042;16
6;1;0.115820799;16
6;1;1.11653049;16
6;1;0.018412691;17
