VegPotID;Nothing;ParameterEstimates;SpeciesGroupID
3;1;0.142568194;21
3;1;0.0162393;21
3;1;0.018672427;21
3;1;0.032427591;21
3;1;-0.006580024;21
3;1;0.051915732;21
3;1;-0.206638902;21
3;1;-0.010300236;21
3;1;-0.109687181;21
3;1;0.003452199;21
3;1;-0.007789723;21
3;1;0.442645904;21
3;1;-0.002601032;24
3;1;0.000584008;24
3;1;-0.006291331;24
3;1;0.001227555;24
3;1;0.01053404;24
3;1;-0.002100422;24
3;1;-0.003600337;24
3;1;0.000980778;24
3;1;0.005595356;24
3;1;-0.01763753;24
3;1;0.002745308;24
3;1;-0.004682372;24
3;1;0.000521308;24
3;1;-0.00358856;24
3;1;0.009509069;24
3;1;0.030659128;24
3;1;0.002407998;25
3;1;0.006692815;25
3;1;0.021475594;25
3;1;-0.015105655;25
3;1;0.017319326;25
3;1;5.87E-05;25
3;1;-0.004063916;25
3;1;0.007706033;25
3;1;0.067510408;25
3;1;-0.06781537;25
3;1;0.000677388;25
3;1;0.058599725;25
3;1;-0.003027223;25
3;1;0.010934596;25
3;1;-0.011581778;25
3;1;0.000241951;25
3;1;0.237164903;25
3;1;0.001706286;27
3;1;-0.000320182;27
3;1;0.042931409;27
3;1;0.044468128;27
3;1;-0.004761514;27
3;1;0.001885086;27
3;1;0.07617244;27
3;1;0.007468018;27
3;1;0.036075411;27
3;1;-0.077119731;27
3;1;-0.00791217;27
3;1;-0.006386622;27
3;1;-0.006586718;27
3;1;-0.004039426;27
3;1;0.06406925;27
3;1;-0.004919951;27
3;1;-0.002260425;27
3;1;0.245064509;27
3;1;0.047095631;31
3;1;-0.008730439;31
3;1;-0.006895366;31
3;1;-0.00584173;31
3;1;-0.021065251;31
3;1;0.039371715;31
3;1;0.012082812;31
3;1;-0.014516404;31
3;1;-0.07927713;31
3;1;0.108937106;31
3;1;0.006300453;31
3;1;-0.107008752;31
3;1;0.006838333;31
3;1;0.054847326;31
3;1;0.013179015;31
3;1;-0.010711967;31
3;1;-0.046764539;31
3;1;0.009151935;31
3;1;0.585564134;31
4;1;0.866573757;3
4;1;-0.050319031;4
4;1;0.318588467;4
4;1;-0.006008248;5
4;1;-0.000287569;5
4;1;0.017057963;5
4;1;-0.015483095;6
4;1;0.007291989;6
4;1;7.57E-05;6
4;1;0.097445295;6
